fecha	hora	precio_md
2015-02-09	2	30.08
2015-02-09	3	26
2015-02-09	4	25
2015-02-09	5	25
2015-02-09	6	26.83
2015-02-09	7	34.84
2015-02-09	8	52.86
2015-02-09	9	55.28
2015-02-09	10	60.75
2015-02-09	11	62.21
2015-02-09	12	60.02
2015-02-09	13	60
2015-02-09	14	59.16
2015-02-09	15	55.1
2015-02-09	16	54.16
2015-02-09	17	55.7
2015-02-09	18	58.9
2015-02-09	19	63.89
2015-02-09	20	82.01
2015-02-09	21	77.56
2015-02-09	22	63.89
2015-02-09	23	59.34
2015-02-09	24	55.7
2015-02-10	1	50.3
2015-02-10	2	49
2015-02-10	3	43.76
2015-02-10	4	43.06
2015-02-10	5	42.88
2015-02-10	6	43.94
2015-02-10	7	49.92
2015-02-10	8	65.01
2015-02-10	9	66.19
2015-02-10	10	69.49
2015-02-10	11	70.7
2015-02-10	12	70.09
2015-02-10	13	68.78
2015-02-10	14	66.69
2015-02-10	15	61.9
2015-02-10	16	61.01
2015-02-10	17	63.89
2015-02-10	18	64.1
2015-02-10	19	67.48
2015-02-10	20	71
2015-02-10	21	71
2015-02-10	22	66.69
2015-02-10	23	62
2015-02-10	24	56.19
2015-02-11	1	50.01
2015-02-11	2	47.41
2015-02-11	3	45.42
2015-02-11	4	43.76
2015-02-11	5	42.39
2015-02-11	6	44.3
2015-02-11	7	49.78
2015-02-11	8	68.03
2015-02-11	9	68.03
2015-02-11	10	72.02
2015-02-11	11	73.21
2015-02-11	12	72.19
2015-02-11	13	72.02
2015-02-11	14	70.19
2015-02-11	15	68.03
2015-02-11	16	68.05
2015-02-11	17	69.65
2015-02-11	18	69.49
2015-02-11	19	71.15
2015-02-11	20	74.71
2015-02-11	21	77.15
2015-02-11	22	72.21
2015-02-11	23	71
2015-02-11	24	68.6
2015-02-12	1	64.1
2015-02-12	2	54.69
2015-02-12	3	46
2015-02-12	4	45.42
2015-02-12	5	45.2
2015-02-12	6	46.5
2015-02-12	7	53.35
2015-02-12	8	69
2015-02-12	9	70.6
2015-02-12	10	75.71
2015-02-12	11	75.71
2015-02-12	12	73.21
2015-02-12	13	72.21
2015-02-12	14	70.59
2015-02-12	15	69.1
2015-02-12	16	69
2015-02-12	17	69.65
2015-02-12	18	68.03
2015-02-12	19	72
2015-02-12	20	74.71
2015-02-12	21	75.79
2015-02-12	22	71.75
2015-02-12	23	69.65
2015-02-12	24	66.1
2015-02-13	1	59
2015-02-13	2	49.07
2015-02-13	3	45.3
2015-02-13	4	42.43
2015-02-13	5	41.62
2015-02-13	6	41.71
2015-02-13	7	45.42
2015-02-13	8	58.25
2015-02-13	9	57.84
2015-02-13	10	60.1
2015-02-13	11	60.1
2015-02-13	12	58.03
2015-02-13	13	54.35
2015-02-13	14	49.89
2015-02-13	15	47.54
2015-02-13	16	44.19
2015-02-13	17	43.2
2015-02-13	18	45.75
2015-02-13	19	51.49
2015-02-13	20	59.99
2015-02-13	21	61.1
2015-02-13	22	60
2015-02-13	23	52.6
2015-02-13	24	46.3
2015-02-14	1	41.3
2015-02-14	2	36.19
2015-02-14	3	35.68
2015-02-14	4	33.18
2015-02-14	5	31.43
2015-02-14	6	32.85
2015-02-14	7	33.93
2015-02-14	8	36.12
2015-02-14	9	37.8
2015-02-14	10	44.02
2015-02-14	11	47.31
2015-02-14	12	47.1
2015-02-14	13	44.1
2015-02-14	14	43.5
2015-02-14	15	37.9
2015-02-14	16	33.93
2015-02-14	17	32.4
2015-02-14	18	35.01
2015-02-14	19	40.1
2015-02-14	20	44.98
2015-02-14	21	45.1
2015-02-14	22	42.61
2015-02-14	23	42.71
2015-02-14	24	37.21
2015-02-15	1	27.5
2015-02-15	2	20
2015-02-15	3	12.51
2015-02-15	4	10
2015-02-15	5	8.4
2015-02-15	6	9.34
2015-02-15	7	12.4
2015-02-15	8	16.33
2015-02-15	9	21.1
2015-02-15	10	26.55
2015-02-15	11	33.02
